Commodity,State,Units,Year,Value
Beef and veal,Illinois,Million dollars,2022,90.5419
Beef and veal,Illinois,Million dollars,2023,79.8938
Beef and veal,Illinois,Million dollars,2021,98.1235
Beef and veal,Indiana,Million dollars,2000,21.1473
Beef and veal,Indiana,Million dollars,2001,18.1162
Beef and veal,Indiana,Million dollars,2002,17.118
Beef and veal,Indiana,Million dollars,2003,19.087
Beef and veal,Indiana,Million dollars,2004,3.7526
Beef and veal,Indiana,Million dollars,2005,6.6104
Beef and veal,Indiana,Million dollars,2006,11.2914
Beef and veal,Indiana,Million dollars,2007,14.4857
Beef and veal,Indiana,Million dollars,2008,16.7385
Beef and veal,Indiana,Million dollars,2009,15.4082
Beef and veal,Indiana,Million dollars,2010,21.7477
Beef and veal,Indiana,Million dollars,2011,21.8536
Beef and veal,Indiana,Million dollars,2012,31.1231
Beef and veal,Indiana,Million dollars,2013,27.307
Beef and veal,Indiana,Million dollars,2014,38.4352
Beef and veal,Indiana,Million dollars,2015,34.5515
Beef and veal,Indiana,Million dollars,2016,37.85
Beef and veal,Indiana,Million dollars,2017,42.1246
Beef and veal,Indiana,Million dollars,2018,43.2374
Beef and veal,Indiana,Million dollars,2019,48.173
Beef and veal,Indiana,Million dollars,2020,40.4701
Beef and veal,Indiana,Million dollars,2022,62.4062
Beef and veal,Indiana,Million dollars,2023,58.7285
Beef and veal,Indiana,Million dollars,2021,58.1531
Beef and veal,Iowa,Million dollars,2000,169.1533
Beef and veal,Iowa,Million dollars,2001,153.1989
Beef and veal,Iowa,Million dollars,2002,152.2103
Beef and veal,Iowa,Million dollars,2003,197.6613
Beef and veal,Iowa,Million dollars,2004,35.8119
Beef and veal,Iowa,Million dollars,2005,67.769
Beef and veal,Iowa,Million dollars,2006,102.7877
Beef and veal,Iowa,Million dollars,2007,134.0843
Beef and veal,Iowa,Million dollars,2008,190.0149
Beef and veal,Iowa,Million dollars,2009,170.2918
Beef and veal,Iowa,Million dollars,2010,237.033
Beef and veal,Iowa,Million dollars,2011,289.8322
Beef and veal,Iowa,Million dollars,2012,313.0525
Beef and veal,Iowa,Million dollars,2013,353.4661
Beef and veal,Iowa,Million dollars,2014,409.8874
Beef and veal,Iowa,Million dollars,2015,356.1656
Beef and veal,Iowa,Million dollars,2016,376.8954
Beef and veal,Iowa,Million dollars,2017,443.9668
Beef and veal,Iowa,Million dollars,2018,506.9282
Beef and veal,Iowa,Million dollars,2019,492.4398
Beef and veal,Iowa,Million dollars,2020,465.9275
Beef and veal,Iowa,Million dollars,2022,722.2947
Beef and veal,Iowa,Million dollars,2023,508.7953
Beef and veal,Iowa,Million dollars,2021,594.8
Beef and veal,Kansas,Million dollars,2000,438.5118
Beef and veal,Kansas,Million dollars,2001,412.8078
Beef and veal,Kansas,Million dollars,2002,404.5221
Beef and veal,Kansas,Million dollars,2003,477.7072
Beef and veal,Kansas,Million dollars,2004,96.1143
Beef and veal,Kansas,Million dollars,2005,170.1664
Beef and veal,Kansas,Million dollars,2006,258.3774
Beef and veal,Kansas,Million dollars,2007,332.5889
Beef and veal,Kansas,Million dollars,2008,412.0396
Beef and veal,Kansas,Million dollars,2009,390.9285
Beef and veal,Kansas,Million dollars,2010,519.9935
Beef and veal,Kansas,Million dollars,2011,659.3311
Beef and veal,Kansas,Million dollars,2012,648.3739
Beef and veal,Kansas,Million dollars,2013,704.0198
Beef and veal,Kansas,Million dollars,2014,788.2198
Beef and veal,Kansas,Million dollars,2015,712.8514
Beef and veal,Kansas,Million dollars,2016,785.2689
Beef and veal,Kansas,Million dollars,2017,904.2527
Beef and veal,Kansas,Million dollars,2018,1030.6977
Beef and veal,Kansas,Million dollars,2019,1031.7654
Beef and veal,Kansas,Million dollars,2020,1005.33
Beef and veal,Kansas,Million dollars,2022,1590.1918
Beef and veal,Kansas,Million dollars,2023,1353.2315
Beef and veal,Kansas,Million dollars,2021,1424.9769
Beef and veal,Kentucky,Million dollars,2000,47.9356
Beef and veal,Kentucky,Million dollars,2001,41.9724
Beef and veal,Kentucky,Million dollars,2002,34.7659
Beef and veal,Kentucky,Million dollars,2003,46.2489
Beef and veal,Kentucky,Million dollars,2004,10.5695
Beef and veal,Kentucky,Million dollars,2005,15.8923
Beef and veal,Kentucky,Million dollars,2006,24.6367
Beef and veal,Kentucky,Million dollars,2007,31.8476
Beef and veal,Kentucky,Million dollars,2008,37.8794
Beef and veal,Kentucky,Million dollars,2009,34.2404
Beef and veal,Kentucky,Million dollars,2010,48.9722
Beef and veal,Kentucky,Million dollars,2011,54.8182
Beef and veal,Kentucky,Million dollars,2012,54.0907
Beef and veal,Kentucky,Million dollars,2013,75.5343
Beef and veal,Kentucky,Million dollars,2014,91.4404
Beef and veal,Kentucky,Million dollars,2015,74.7747
Beef and veal,Kentucky,Million dollars,2016,72.6554
Beef and veal,Kentucky,Million dollars,2017,80.9997
Beef and veal,Kentucky,Million dollars,2018,92.6922
Beef and veal,Kentucky,Million dollars,2019,89.7301
Beef and veal,Kentucky,Million dollars,2020,87.8846
Beef and veal,Kentucky,Million dollars,2022,151.484
Beef and veal,Kentucky,Million dollars,2023,124.2078
Beef and veal,Kentucky,Million dollars,2021,125.8378
Beef and veal,Louisiana,Million dollars,2000,17.1393
Beef and veal,Louisiana,Million dollars,2001,14.9442
Beef and veal,Louisiana,Million dollars,2002,13.2169
Beef and veal,Louisiana,Million dollars,2003,15.161
Beef and veal,Louisiana,Million dollars,2004,3.4994
Beef and veal,Louisiana,Million dollars,2005,6.5047
Beef and veal,Louisiana,Million dollars,2006,8.103
Beef and veal,Louisiana,Million dollars,2007,10.2059
Beef and veal,Louisiana,Million dollars,2008,12.6134
Beef and veal,Louisiana,Million dollars,2009,13.3274
Beef and veal,Louisiana,Million dollars,2010,15.4984
Beef and veal,Louisiana,Million dollars,2011,19.7954
Beef and veal,Louisiana,Million dollars,2012,22.4911
Beef and veal,Louisiana,Million dollars,2013,22.6335
Beef and veal,Louisiana,Million dollars,2014,31.1682
Beef and veal,Louisiana,Million dollars,2015,29.747
Beef and veal,Louisiana,Million dollars,2016,21.8119
Beef and veal,Louisiana,Million dollars,2017,22.9322
Beef and veal,Louisiana,Million dollars,2018,29.3962
Beef and veal,Louisiana,Million dollars,2019,24.2154
Beef and veal,Louisiana,Million dollars,2020,22.6845
Beef and veal,Louisiana,Million dollars,2022,32.2658
Beef and veal,Louisiana,Million dollars,2023,31.1268
Beef and veal,Louisiana,Million dollars,2021,29.4748
Beef and veal,Maine,Million dollars,2000,1.5383
Beef and veal,Maine,Million dollars,2001,1.427
Beef and veal,Maine,Million dollars,2002,1.4755
Beef and veal,Maine,Million dollars,2003,1.4188
Beef and veal,Maine,Million dollars,2004,0.2838
Beef and veal,Maine,Million dollars,2005,0.4581
Beef and veal,Maine,Million dollars,2006,0.7982
Beef and veal,Maine,Million dollars,2007,0.7362
Beef and veal,Maine,Million dollars,2008,0.8967
Beef and veal,Maine,Million dollars,2009,0.7689
Beef and veal,Maine,Million dollars,2010,0.8657
Beef and veal,Maine,Million dollars,2011,1.4173
Beef and veal,Maine,Million dollars,2012,1.6686
Beef and veal,Maine,Million dollars,2013,1.9393
Beef and veal,Maine,Million dollars,2014,2.4408
Beef and veal,Maine,Million dollars,2015,2.6778
Beef and veal,Maine,Million dollars,2016,1.7634
Beef and veal,Maine,Million dollars,2017,2.4964
Beef and veal,Maine,Million dollars,2018,2.5556
Beef and veal,Maine,Million dollars,2019,2.0759
Beef and veal,Maine,Million dollars,2020,2.6243
Beef and veal,Maine,Million dollars,2022,3.0519
Beef and veal,Maine,Million dollars,2023,3.2218
Beef and veal,Maine,Million dollars,2021,3.0628
Beef and veal,Maryland,Million dollars,2000,6.2562
Beef and veal,Maryland,Million dollars,2001,5.1367
Beef and veal,Maryland,Million dollars,2002,5.6788
Beef and veal,Maryland,Million dollars,2003,6.8659
Beef and veal,Maryland,Million dollars,2004,1.3212
Beef and veal,Maryland,Million dollars,2005,2.1916
Beef and veal,Maryland,Million dollars,2006,3.4561
Beef and veal,Maryland,Million dollars,2007,4.1538
Beef and veal,Maryland,Million dollars,2008,4.3472
Beef and veal,Maryland,Million dollars,2009,3.6601
Beef and veal,Maryland,Million dollars,2010,4.998
Beef and veal,Maryland,Million dollars,2011,5.6388
Beef and veal,Maryland,Million dollars,2012,9.959
Beef and veal,Maryland,Million dollars,2013,8.895
Beef and veal,Maryland,Million dollars,2014,8.8733
Beef and veal,Maryland,Million dollars,2015,7.8343
Beef and veal,Maryland,Million dollars,2016,7.9421
Beef and veal,Maryland,Million dollars,2017,6.7115
Beef and veal,Maryland,Million dollars,2018,8.5845
Beef and veal,Maryland,Million dollars,2019,11.4327
Beef and veal,Maryland,Million dollars,2020,7.7297
Beef and veal,Maryland,Million dollars,2022,12.3604
Beef and veal,Maryland,Million dollars,2023,9.0322
Beef and veal,Maryland,Million dollars,2021,12.207
Beef and veal,Massachusetts,Million dollars,2000,0.949
Beef and veal,Massachusetts,Million dollars,2001,0.5058
Beef and veal,Massachusetts,Million dollars,2002,0.5554
Beef and veal,Massachusetts,Million dollars,2003,0.6031
Beef and veal,Massachusetts,Million dollars,2004,0.1289
Beef and veal,Massachusetts,Million dollars,2005,0.2314
Beef and veal,Massachusetts,Million dollars,2006,0.4015
Beef and veal,Massachusetts,Million dollars,2007,0.3792
Beef and veal,Massachusetts,Million dollars,2008,0.543
Beef and veal,Massachusetts,Million dollars,2009,0.3475
Beef and veal,Massachusetts,Million dollars,2010,0.5286
Beef and veal,Massachusetts,Million dollars,2011,0.6153
Beef and veal,Massachusetts,Million dollars,2012,1.0239
Beef and veal,Massachusetts,Million dollars,2013,1.0815
Beef and veal,Massachusetts,Million dollars,2014,1.2963
Beef and veal,Massachusetts,Million dollars,2015,1.1185
Beef and veal,Massachusetts,Million dollars,2016,0.8866
Beef and veal,Massachusetts,Million dollars,2017,1.0013
Beef and veal,Massachusetts,Million dollars,2018,1.1807
Beef and veal,Massachusetts,Million dollars,2019,1.1806
Beef and veal,Massachusetts,Million dollars,2020,0.647
Beef and veal,Massachusetts,Million dollars,2022,1.811
Beef and veal,Massachusetts,Million dollars,2023,1.5673
Beef and veal,Massachusetts,Million dollars,2021,1.0647
Beef and veal,Michigan,Million dollars,2000,22.6795
Beef and veal,Michigan,Million dollars,2001,19.1419
Beef and veal,Michigan,Million dollars,2002,17.2062
Beef and veal,Michigan,Million dollars,2003,17.6639
Beef and veal,Michigan,Million dollars,2004,4.8145
Beef and veal,Michigan,Million dollars,2005,7.7624
Beef and veal,Michigan,Million dollars,2006,12.1867
Beef and veal,Michigan,Million dollars,2007,18.0721
Beef and veal,Michigan,Million dollars,2008,25.3841
Beef and veal,Michigan,Million dollars,2009,20.3396
Beef and veal,Michigan,Million dollars,2010,30.3567
Beef and veal,Michigan,Million dollars,2011,37.7147
Beef and veal,Michigan,Million dollars,2012,39.4374
Beef and veal,Michigan,Million dollars,2013,50.5254
Beef and veal,Michigan,Million dollars,2014,58.383
Beef and veal,Michigan,Million dollars,2015,50.3759
Beef and veal,Michigan,Million dollars,2016,52.8325
Beef and veal,Michigan,Million dollars,2017,62.4256
Beef and veal,Michigan,Million dollars,2018,67.1199
Beef and veal,Michigan,Million dollars,2019,65.2331
Beef and veal,Michigan,Million dollars,2020,61.3239
Beef and veal,Michigan,Million dollars,2022,85.6364
Beef and veal,Michigan,Million dollars,2023,82.1207
Beef and veal,Michigan,Million dollars,2021,81.2971
Beef and veal,Minnesota,Million dollars,2000,79.4652
Beef and veal,Minnesota,Million dollars,2001,78.5498
Beef and veal,Minnesota,Million dollars,2002,70.7903
Beef and veal,Minnesota,Million dollars,2003,84.1376
Beef and veal,Minnesota,Million dollars,2004,16.6669
Beef and veal,Minnesota,Million dollars,2005,28.1453
Beef and veal,Minnesota,Million dollars,2006,39.257
Beef and veal,Minnesota,Million dollars,2007,57.3645
Beef and veal,Minnesota,Million dollars,2008,72.0992
